Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2024;LC5    ;6.295;29.113;13.46  ;20240331;359.2 ;  33.2; 285.6 ; 33.4 ;644;17.704;( 28d)   ;E2024-M08  
2024;JY40   ;5.561;9.260;13.91  ;20240331;325.9 ; 123.9; 169.9 ; 20.9 ;250;7.410;2;E2024-LD2  
2024;JL23   ;11.544;140.755;11.48  ;20240331;359.6 ; 151.4;  93.3 ; 21.9 ;848;76.149;4;E2024-K33  
2024;GT4    ;15.427;50.973; 7.88  ;20240331;350.3 ; 320.7; 246.5 ; 34.6 ;535;33.200;7;MPO825790  
2024;CB8    ;6.963;47.821;13.87  ;20240331;  3.0 ; 308.6; 152.6 ; 23.9 ;746;27.392;( 28d)   ;MPO811543  
2023;XA13   ;13.843;43.178; 9.66  ;20240331;353.9 ;  88.5;   5.9 ; 18.5 ;514;28.510;8;MPO793472  
2023;VQ17   ;14.467;40.709;10.41  ;20240331;353.3 ;  52.8;  22.2 ; 15.7 ;476;27.588;( 36d)   ;MPO793207  
2023;UV10   ;12.024;26.852;10.85  ;20240331; 26.0 ; 247.1;  87.6 ; 36.5 ;381;19.438;7;E2024-H84  
2023;UP43   ;12.221;31.996;11.50  ;20240331;352.6 ;  46.6;  32.4 ; 18.0 ;447;22.108;( 35d)   ;MPO793085  
2023;UJ31   ;13.385;137.598;10.79  ;20240331;359.1 ;  10.0;  46.2 ; 31.5 ;823;75.491;( 27d)   ;MPO793044  
2023;SO7    ;19.551;119.489; 7.83  ;20240331;356.8 ; 185.7; 171.3 ; 96.8 ;719;69.520;6;MPO775130  
2023;RS61   ;8.008;15.785;11.61  ;20240331;319.1 ; 119.3; 347.0 ; 19.9 ;327;11.896;4;MPO774837  
2023;QB47   ;6.342;31.632;13.18  ;20240331;352.2 ;  78.3; 331.2 ; 21.2 ;666;18.987;3;MPO774419  
2023;KE11   ;5.254;53.242;14.63  ;20240331;  1.1 ;  38.3; 341.0 ; 23.9 ;820;29.248;3;E2023-XG7  
2023;JX34   ;11.103;33.843;11.68  ;20240331;  2.1 ;  79.6; 159.9 ; 30.9 ;506;22.473;5;E2024-LD5  
2023;JF4    ;7.543;18.033;11.11  ;20240331;310.6 ; 203.0; 142.3 ; 15.6 ;410;12.788;(112d)   ;E2023-N43  
2023;FY54   ;34.032;109.357; 7.61  ;20240331; 40.5 ; 256.0; 154.8 ;  4.7 ;525;71.694;2;MPO825598  
2023;FU54   ;21.834;65.628; 6.25  ;20240331;296.1 ; 295.9; 343.6 ; 33.8 ;501;43.731;2;MPO825597  
2023;FS54   ;37.982;68.898; 5.37  ;20240331;125.3 ; 254.3; 116.5 ;  3.9 ;289;53.440;2;MPO825597  
2023;FC55   ;34.701;123.030; 6.90  ;20240331;334.8 ;  99.9; 170.9 ; 23.2 ;560;78.865;2;MPO825598  
2023;BF9    ;17.843;18.149;10.66  ;20240331;121.0 ; 291.2; 308.5 ; 11.9 ;8;17.996;(  6d)   ;MPO736074  
2022;WW24   ;33.774;41.159; 7.48  ;20240331;139.0 ; 221.1;  37.7 ; 18.0 ;99;37.466;( 28d)   ;MPO727363  
2022;WV24   ;28.949;35.477; 7.97  ;20240331;257.6 ; 241.3; 276.1 ;  5.9 ;101;32.213;( 28d)   ;MPO727363  
2022;UO138  ;8.639;20.328;13.94  ;20240331;  5.6 ;  41.1; 351.0 ; 17.7 ;404;14.484;( 17d)   ;E2023-N68  
2022;UN10   ;10.811;58.125;12.20  ;20240331;  4.4 ; 307.4;  81.1 ;  7.7 ;686;34.468;7;MPO718875  
2022;SJ21   ;10.507;14.785;11.59  ;20240331; 69.1 ; 211.9;  62.2 ; 18.9 ;169;12.646;9;MPO782807  
2022;RW88   ;35.454;84.519; 7.05  ;20240331;295.7 ; 130.1; 307.6 ; 27.8 ;409;59.987;2;MPO774132  
2022;QY7    ;29.714;36.319; 6.91  ;20240331;138.2 ; 126.7;  98.9 ; 15.6 ;100;33.016;(  2d)   ;MPO710385  
2022;QV62   ;32.631;192.752; 9.05  ;20240331;  0.2 ; 261.6; 109.5 ; 16.3 ;0.710 1;12.692;(  2d)   ;MPO710543  
2022;QU62   ;31.590;80.240; 8.26  ;20240331;  0.5 ; 235.3; 137.2 ; 20.7 ;435;55.915;(  2d)   ;MPO710542  
2022;QR264  ;33.376;124.159; 6.86  ;20240331; 39.3 ;  38.3; 197.0 ;  6.6 ;576;78.767;2;MPO774123  
2022;QK32   ;10.768;31.862;11.72  ;20240331;  5.9 ; 342.6; 348.0 ; 31.1 ;495;21.315;4;MPO782802  
2022;QF261  ;37.148;75.641; 5.31  ;20240331;278.7 ; 151.7; 300.7 ;  8.9 ;341;56.395;6;E2023-R13  
2022;PM5    ;5.970;29.254;13.93  ;20240331;  3.3 ; 105.9; 262.1 ; 10.8 ;661;17.612;3;MPO782800  
2022;OU15   ;12.952;47.196;10.70  ;20240331; 13.6 ; 304.7; 325.2 ; 21.2 ;569;30.074;6;E2023-Q21  
2022;OH10   ;14.876;24.138;10.55  ;20240331;354.7 ;  65.6; 257.6 ; 22.1 ;237;19.507;8;MPO782797  
2022;OA5    ;7.449;51.487;12.23  ;20240331;  0.6 ; 241.5; 104.0 ; 14.1 ;747;29.468;3;MPO782797  
2022;LZ14   ;28.411;34.683;10.17  ;20240331;288.4 ; 262.9; 109.6 ; 13.1 ;99;31.547;( 28d)   ;MPO735879  
2022;LY14   ;28.401;89.960;10.80  ;20240331; 29.8 ;  73.3; 131.6 ;  1.9 ;520;59.181;( 27d)   ;MPO735879  
2022;LX14   ;21.463;215.149; 8.94  ;20240331;350.3 ; 130.3; 255.3 ;  1.6 ;0.819 1;18.306;( 28d)   ;MPO735879  
2022;LW15   ;32.033;39.266; 8.90  ;20240331; 89.5 ;  78.2; 110.6 ; 14.5 ;101;35.649;( 26d)   ;MPO735882  
2022;LU15   ;34.085;41.890; 9.65  ;20240331;255.9 ; 124.3; 280.4 ;  7.3 ;103;37.988;( 27d)   ;MPO735881  
2022;LU14   ;33.027;40.464; 9.48  ;20240331; 87.0 ; 355.0; 196.1 ;  0.7 ;101;36.745;( 27d)   ;MPO735879  
2022;LQ14   ;33.117;40.909; 8.62  ;20240331;227.4 ; 318.6; 111.0 ;  8.6 ;105;37.013;( 28d)   ;MPO735878  
2022;LP15   ;27.562;34.001; 9.57  ;20240331;143.7 ; 227.2; 272.3 ;  4.9 ;105;30.782;( 28d)   ;MPO735881  
2022;LO16   ;33.496;96.816;10.10  ;20240331; 11.6 ; 337.9; 275.0 ;  4.0 ;486;65.156;2;E2024-EC3  
2022;LO15   ;31.630;39.022; 8.70  ;20240331;146.5 ; 219.4; 277.6 ;  7.1 ;105;35.326;( 28d)   ;MPO735881  
2022;LO14   ;24.100;94.192; 8.02  ;20240331;331.1 ; 220.0; 163.8 ;  0.8 ;593;59.146;( 28d)   ;MPO735878  
2022;LN15   ;31.245;38.280; 8.73  ;20240331; 92.7 ; 271.3; 274.5 ;  5.7 ;101;34.762;( 28d)   ;MPO735881  
2022;LN14   ;34.996;66.140; 8.96  ;20240331; 39.5 ;  93.7; 125.9 ;  1.8 ;308;50.568;( 28d)   ;MPO735878  
2022;LL16   ;34.531;41.876; 9.52  ;20240331;328.4 ; 103.7; 223.8 ;  0.7 ;96;38.204;( 28d)   ;MPO735883  
2022;LK16   ;35.256;66.712; 6.99  ;20240331; 20.9 ; 142.4; 107.5 ; 30.6 ;308;50.984;5;MPO750185  
2022;LJ16   ;23.646;96.009;10.60  ;20240331; 18.2 ; 292.0; 284.8 ; 11.2 ;605;59.828;( 28d)   ;MPO735883  
2022;LH15   ;32.162;87.720; 7.01  ;20240331; 33.4 ;  47.8; 159.2 ;  1.2 ;463;59.941;( 28d)   ;MPO735880  
2022;LG16   ;25.212;166.151; 9.64  ;20240331;348.5 ; 262.6; 107.1 ; 29.6 ;737;95.681;( 28d)   ;MPO735883  
2022;LG14   ;34.581;134.950; 9.81  ;20240331;  0.7 ;   2.4; 284.5 ; 10.1 ;592;84.766;( 27d)   ;MPO735877  
2022;LF14   ;35.534;122.155;10.52  ;20240331;  0.6 ;   2.9; 284.7 ; 10.5 ;549;78.845;( 28d)   ;MPO735877  
2022;LE15   ;34.668;42.208;10.82  ;20240331;305.2 ;  69.8; 284.7 ; 25.4 ;98;38.438;( 28d)   ;MPO735880  
2022;LC16   ;31.900;38.833; 9.25  ;20240331;315.4 ; 234.8; 108.1 ;  8.8 ;98;35.366;( 28d)   ;MPO735882  
2022;LB16   ;31.892;38.849; 9.85  ;20240331;313.8 ; 236.5; 108.6 ;  6.6 ;98;35.371;( 28d)   ;MPO735882  
2022;LB15   ;27.794;66.561;10.50  ;20240331; 25.4 ; 313.3; 276.7 ;  5.4 ;411;47.178;( 28d)   ;MPO735879  
2022;LB14   ;30.126;80.857; 8.39  ;20240331; 39.4 ;  80.2; 119.1 ;  2.2 ;457;55.491;( 28d)   ;MPO735877  
2022;KJ2    ;8.103;28.569;12.42  ;20240331;358.6 ;  83.0; 191.3 ;  9.8 ;558;18.336;8;MPO750185  
2022;HQ19   ;31.104;106.155; 6.49  ;20240331; 43.5 ;  31.4;  91.4 ; 19.6 ;547;68.629;4;E2023-R13  
2022;HK5    ;29.284;35.983; 7.73  ;20240331; 67.0 ;  79.4;  51.1 ;  2.9 ;103;32.634;(  4d)   ;MPO691476  
2022;GV6    ;38.219;230.080; 8.06  ;20240331;  4.3 ; 325.2; 200.7 ; 13.7 ;0.715 1;34.150;5;E2022-KD6  
2022;FH9    ;32.784;36.978; 8.17  ;20240331; 81.2 ; 288.3; 187.8 ;  5.6 ;60;34.881;4;E2024-JV1  
2022;FA7    ;30.967;55.917; 6.61  ;20240331;248.5 ; 324.2;  14.7 ; 15.0 ;287;43.442;4;E2023-R23  
2021;VK27   ;6.571;19.117;14.00  ;20240331;  6.6 ; 270.4; 167.0 ; 17.1 ;488;12.844;4;E2023-Y63  
2021;TP15   ;5.379;21.387;14.00  ;20240331; 15.1 ; 308.1;  98.3 ; 22.0 ;598;13.383;5;E2023-X62  
2021;TJ192  ;37.525;67.984; 7.53  ;20240331; 19.4 ; 321.9;   1.3 ;  9.7 ;289;52.755;3;MPO792527  
2021;SN11   ;5.397;11.636;14.62  ;20240331; 16.1 ; 102.2; 312.3 ; 17.6 ;366;8.516;3;MPO733839  
2021;RW237  ;37.887;117.641; 6.43  ;20240331; 61.3 ;  61.9; 169.7 ; 20.6 ;513;77.764;3;MPO792516  
2021;RV236  ;38.325;65.207; 9.26  ;20240331; 15.9 ;  21.5; 309.8 ;  0.4 ;260;51.766;3;MPO792513  
2021;RV209  ;34.514;87.999; 5.91  ;20240331; 81.9 ; 239.9; 314.4 ; 13.8 ;437;61.257;5;MPO735782  
2021;RM238  ;37.829;145.787; 7.95  ;20240331;349.1 ; 235.1; 171.3 ; 24.0 ;588;91.808;4;MPO792518  
2021;RL237  ;37.039;127.997;10.43  ;20240331;358.4 ;   7.3; 357.7 ; 14.1 ;551;82.518;3;MPO792515  
2021;RA237  ;34.402;73.960; 9.40  ;20240331; 21.9 ; 161.3; 149.0 ;  1.8 ;365;54.181;3;MPO792514  
2021;QG98   ;36.090;87.459; 5.74  ;20240331; 64.3 ;  84.4; 117.8 ; 21.3 ;416;61.775;4;E2023-R23  
2021;QF98   ;23.885;43.775; 7.72  ;20240331; 55.4 ; 250.5; 334.9 ; 17.8 ;294;33.830;3;E2023-R23  
2021;QB98   ;30.398;97.755; 6.54  ;20240331;302.7 ; 284.8; 162.3 ;  3.9 ;526;64.077;2;MPO735766  
2021;PU23   ;13.451;17.666;10.03  ;20240331;125.5 ; 271.2; 292.8 ; 37.1 ;135;15.559;5;E2023-O15  
2021;MX22   ;30.650;45.952; 9.41  ;20240331; 14.3 ; 351.3; 279.9 ;  6.6 ;200;38.301;( 81d)   ;MPO735716  
2021;LY44   ;35.830;80.862; 8.51  ;20240331; 37.5 ;  85.3; 127.3 ;  4.1 ;386;58.346;2;E2024-EA9  
2021;LV44   ;31.860;49.440; 9.78  ;20240331;343.4 ; 200.9; 117.1 ;  6.8 ;216;40.650;( 89d)   ;MPO735709  
2021;LV43   ;33.025;61.558;10.04  ;20240331; 41.6 ;  80.7; 138.4 ;  1.7 ;302;47.292;2;E2024-EA9  
2021;LS43   ;36.519;145.899; 6.66  ;20240331;329.9 ; 306.5;  26.8 ;  3.8 ;600;91.209;2;MPO735706  
2021;LR43   ;38.812;114.039; 6.84  ;20240331;327.8 ; 283.1;  38.0 ; 33.4 ;492;76.426;2;MPO735706  
2021;LQ43   ;38.441;85.253; 6.12  ;20240331;284.3 ; 269.1;  73.9 ; 12.0 ;378;61.847;3;E2024-H84  
2021;LP44   ;31.692;79.225; 9.30  ;20240331;343.4 ; 207.4; 128.3 ;  4.5 ;429;55.459;2;MPO735709  
2021;LO43   ;35.517;90.431; 6.58  ;20240331; 67.9 ; 241.6; 240.9 ; 15.1 ;436;62.974;2;MPO735706  
2021;LM43   ;32.950;142.512; 7.30  ;20240331; 28.9 ; 257.9; 247.1 ; 14.7 ;624;87.731;2;MPO735705  
2021;LL37   ;35.552;75.630; 4.09  ;20240331;213.9 ;  49.6; 345.2 ;  9.9 ;360;55.591;7;MPO706230  
2021;LK44   ;37.052;135.320; 8.49  ;20240331; 14.6 ; 310.7; 283.2 ; 16.2 ;570;86.186;( 89d)   ;MPO735708  
2021;LB45   ;36.372;64.255;10.43  ;20240331;  1.9 ;   9.9; 278.0 ;  8.8 ;277;50.314;( 89d)   ;MPO735710  
2021;JK10   ;13.354;23.001;10.83  ;20240331; 25.3 ; 111.0; 102.0 ; 17.4 ;265;18.177;8;MPO750185  
2021;FQ54   ;37.641;97.277; 7.94  ;20240331; 48.1 ;  25.2;  35.7 ; 17.6 ;442;67.459;3;MPO735684  
2021;EE44   ;28.078;57.240; 6.5   ;20240331; 72.1 ;  80.0; 296.4 ;  7.7 ;342;42.659;( 30d)   ;E2021-MA8  
2021;DR15   ;38.171;96.801; 3.61  ;20240331;124.0 ;  22.5; 334.1 ; 30.6 ;434;67.486;9;MPO687993  
2021;DQ15   ;32.529;78.688; 6.18  ;20240331;106.5 ;  68.4; 248.5 ;  3.0 ;415;55.609;5;MPO725014  
2021;DP15   ;36.614;86.200; 5.87  ;20240331;123.0 ; 156.3; 176.9 ;  3.6 ;404;61.407;5;MPO725014  
2021;19,00 DM;37.211;129.813; 7.61  ;20240331; 27.8 ; 271.3; 125.0 ; 27.8 ;554;83.512;2;MPO735681  
2021;CP5    ;10.559;712.948;12.18  ;20240331;  0.1 ; 331.2; 180.6 ;  9.2 ;0.971 3;61.754;5;E2024-F14  
2021;CO10   ;7.732;30.972;13.02  ;20240331; 17.1 ; 179.5; 320.0 ; 14.2 ;600;19.352;7;MPO704353  
2021;CL46   ;34.077;78.849; 6.75  ;20240331;324.3 ;  67.8; 126.4 ;  9.3 ;396;56.463;6;E2024-AE1  
2021;CK46   ;36.050;102.907; 5.88  ;20240331;342.3 ;  41.4; 130.1 ; 22.6 ;481;69.478;7;E2024-CC8  
2021;CG56   ;37.094;76.857; 7.29  ;20240331; 88.9 ; 220.1; 139.3 ; 13.3 ;349;56.975;3;MPO825341  
2021;BK15   ;34.403;75.958; 7.36  ;20240331;282.8 ; 175.5;  91.3 ; 11.6 ;377;55.181;3;MPO735676  
